Order ID,Order Date,Ship Date,Ship Mode,CustomerID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
